Scopus refine results values

"Your query : (SRCTITLE(SIGIR Forum) AND ( LIMIT-TO ( PUBYEAR,2003) OR LIMIT-TO ( PUBYEAR,2002) OR LIMIT-TO ( PUBYEAR,2001) OR LIMIT-TO ( PUBYEAR,2000) OR LIMIT-TO ( PUBYEAR,1999) OR LIMIT-TO ( PUBYEAR,1998) OR LIMIT-TO ( PUBYEAR,1997) OR LIMIT-TO ( PUBYEAR,1996) OR LIMIT-TO ( PUBYEAR,1995) ) )"


Number of results : 597

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","72","2003","106","Callan, J.","14","Business, Management and Accounting","597","Conference Paper","407","final","597","SIGIR Forum ACM Special Interest Group On Information Retrieval","591","Information Retrieval","263","University of Massachusetts Amherst","44","Undefined","597","United States","281","Journal","503","English","597"
"Green","72","2002","106","Allan, J.","13","Computer Science","597","Article","182",,,"ACM SIGIR Forum","6","Information Retrieval Systems","254","Carnegie Mellon University","30",,,"United Kingdom","69","Conference Proceeding","82",,
,,"2001","92","Croft, W.B.","13",,,"Conference Review","7",,,,,"Query Languages","233","University of Glasgow","15",,,"Japan","40","Undefined","12",,
,,"2000","75","Zobel, J.","10",,,"Review","1",,,,,"Algorithms","170","RMIT University","15",,,"Australia","28",,,,
,,"1999","5","Sakai, T.","8",,,,,,,,,"Data Structures","94","University of California, Berkeley","13",,,"Germany","21",,,,
,,"1998","80","Sanderson, M.","8",,,,,,,,,"Search Engines","91","Tampereen Yliopisto","12",,,"Canada","17",,,,
,,"1997","42","Fuhr, N.","7",,,,,,,,,"Mathematical Models","83","The University of Sheffield","11",,,"Netherlands","15",,,,
,,"1996","42","Jose, J.M.","7",,,,,,,,,"Text Processing","82","IBM Thomas J. Watson Research Center","11",,,"Finland","14",,,,
,,"1995","49","Moffat, A.","7",,,,,,,,,"World Wide Web","80","National Institute of Standards and Technology","11",,,"France","14",,,,
,,,,"Ogawa, Y.","7",,,,,,,,,"Database Systems","77","Rutgers University–New Brunswick","10",,,"Italy","12",,,,
,,,,"Aslam, J.A.","6",,,,,,,,,"Online Searching","77","Cornell University","9",,,"South Korea","12",,,,
,,,,"Buckley, C.","6",,,,,,,,,"Indexing (of Information)","72","National University of Singapore","9",,,"Taiwan","12",,,,
,,,,"Chowdhury, A.","6",,,,,,,,,"Natural Language Processing Systems","61","Pennsylvania State University","8",,,"China","11",,,,
,,,,"Franz, M.","6",,,,,,,,,"Statistical Methods","54","Microsoft Research","8",,,"Israel","10",,,,
,,,,"Frieder, O.","6",,,,,,,,,"Learning Systems","49","University of Strathclyde","8",,,"Singapore","10",,,,
,,,,"Jones, G.J.F.","6",,,,,,,,,"Probability","49","University of Waterloo","7",,,"Hong Kong","7",,,,
,,,,"Voorhees, E.M.","6",,,,,,,,,"User Interfaces","48","University of Melbourne","7",,,"Switzerland","7",,,,
,,,,"Yang, Y.","6",,,,,,,,,"Classification (of Information)","41","Palo Alto Research Center Incorporated","7",,,"Brazil","5",,,,
,,,,"Clarke, C.L.A.","5",,,,,,,,,"Data Reduction","34","Microsoft Research Cambridge","7",,,"Ireland","5",,,,
,,,,"Kando, N.","5",,,,,,,,,"Computer Simulation","33","University of Illinois Urbana-Champaign","6",,,"Denmark","4",,,,
,,,,"Lavrenko, V.","5",,,,,,,,,"Semantics","32","Dartmouth College","6",,,"Greece","4",,,,
,,,,"McCarley, J.S.","5",,,,,,,,,"Vectors","32","Ricoh Co., Ltd.","6",,,"Sweden","3",,,,
,,,,"Oard, D.W.","5",,,,,,,,,"Learning Algorithms","31","Toshiba Corporation","6",,,"Austria","2",,,,
,,,,"Ruthven, I.","5",,,,,,,,,"Computational Linguistics","29","University of Maryland, College Park UMD","6",,,"Belgium","2",,,,
,,,,"Soboroff, I.","5",,,,,,,,,"Problem Solving","27","University of Sunderland","6",,,"India","2",,,,
,,,,"Tait, J.","5",,,,,,,,,"Feature Extraction","26","Technische Universität Dortmund","6",,,"Russian Federation","2",,,,
,,,,"Zha, H.","5",,,,,,,,,"Websites","26","Illinois Institute of Technology","5",,,"Spain","2",,,,
,,,,"Belkin, N.J.","4",,,,,,,,,"Probability Distributions","25","IBM Research - Almaden","5",,,"Chile","1",,,,
,,,,"Bruza, P.","4",,,,,,,,,"Feedback","24","AT&amp;T Inc.","5",,,"New Zealand","1",,,,
,,,,"Chen, Z.","4",,,,,,,,,"Performance","24","Oregon Health &amp; Science University","5",,,"Norway","1",,,,
,,,,"Chien, L.F.","4",,,,,,,,,"Interactive Computer Systems","23","Academia Sinica Taiwan","5",,,"Portugal","1",,,,
,,,,"Cormack, G.V.","4",,,,,,,,,"Computational Methods","22","University of Twente","5",,,"Thailand","1",,,,
,,,,"Crestani, F.","4",,,,,,,,,"Data Mining","22","Virginia Polytechnic Institute and State University","5",,,"Tunisia","1",,,,
,,,,"Dumais, S.","4",,,,,,,,,"Linguistics","22","Research Organization of Information and Systems National Institute of Informatics","5",,,"Turkey","1",,,,
,,,,"Giles, C.L.","4",,,,,,,,,"Optimization","22","Universidade Federal de Minas Gerais","5",,,"Undefined","20",,,,
,,,,"Grossman, D.","4",,,,,,,,,"Data Storage Equipment","21","University of Cambridge","5",,,,,,,,
,,,,"Harper, D.J.","4",,,,,,,,,"Text Categorization","20","Chinese University of Hong Kong","4",,,,,,,,
,,,,"Hersh, W.","4",,,,,,,,,"Automatic Indexing","19","City University of New York","4",,,,,,,,
,,,,"Hull, D.A.","4",,,,,,,,,"Digital Libraries","19","Hebrew University of Jerusalem","4",,,,,,,,
,,,,"Jarvelin, K.","4",,,,,,,,,"Visualization","19","CSIRO Mathematical and Information Sciences","4",,,,,,,,
,,,,"Jin, R.","4",,,,,,,,,"Heuristic Methods","18","Robert Gordon University","4",,,,,,,,
,,,,"Lafferty, J.","4",,,,,,,,,"Information Science","17","University of Washington","4",,,,,,,,
,,,,"Lalmas, M.","4",,,,,,,,,"Multimedia Systems","17","NEC Laboratories America, Inc.","4",,,,,,,,
,,,,"Lewis, D.D.","4",,,,,,,,,"Computational Complexity","16","Hewlett-Packard Inc.","4",,,,,,,,
,,,,"Manmatha, R.","4",,,,,,,,,"Evaluation","16","Nokia Bell Labs","4",,,,,,,,
,,,,"Myaeng, S.H.","4",,,,,,,,,"HTML","16","Chungnam National University","4",,,,,,,,
,,,,"Nie, J.Y.","4",,,,,,,,,"Information Analysis","16","University of Iowa","4",,,,,,,,
,,,,"Pedersen, J.O.","4",,,,,,,,,"Speech Recognition","16","City, University of London","4",,,,,,,,
,,,,"Robertson, S.E.","4",,,,,,,,,"Graph Theory","15","ETH Zürich","4",,,,,,,,
,,,,"Saracevic, T.","4",,,,,,,,,"Parameter Estimation","15","University of Exeter","4",,,,,,,,
,,,,"Singer, Y.","4",,,,,,,,,"Web Browsers","15","University of Rochester","4",,,,,,,,
,,,,"Singhal, A.","4",,,,,,,,,"Automation","14","Columbia University","4",,,,,,,,
,,,,"Sormunen, E.","4",,,,,,,,,"Hierarchical Systems","14","Microsoft Research Asia","4",,,,,,,,
,,,,"Xu, J.","4",,,,,,,,,"Matrix Algebra","14","Clairvoyance Corporation","3",,,,,,,,
,,,,"Zhai, C.","4",,,,,,,,,"Online Systems","14","Just Research","3",,,,,,,,
,,,,"Zhai, C.X.","4",,,,,,,,,"Vocabulary Control","14","Sabir Research, Inc.","3",,,,,,,,
,,,,"Ziviani, N.","4",,,,,,,,,"Artificial Intelligence","13","Hitachi, Ltd.","3",,,,,,,,
,,,,"Ballesteros, L.","3",,,,,,,,,"Computer Aided Software Engineering","13","Queens College, City University of New York","3",,,,,,,,
,,,,"Bruce Croft, W.","3",,,,,,,,,"Computer Software","13","Fu Jen Catholic University","3",,,,,,,,
,,,,"Carmel, D.","3",,,,,,,,,"Graphical User Interfaces","13","University College Dublin","3",,,,,,,,
,,,,"Evans, D.A.","3",,,,,,,,,"Image Analysis","13","MIT Computer Science &amp; Artificial Intelligence Laboratory","3",,,,,,,,
,,,,"Fox, E.A.","3",,,,,,,,,"Information Dissemination","13","University of Montreal","3",,,,,,,,
,,,,"French, J.C.","3",,,,,,,,,"Internet","13","Brown University","3",,,,,,,,
,,,,"Gong, Y.","3",,,,,,,,,"Language Models","13","Stanford University","3",,,,,,,,
,,,,"Hauptmann, A.G.","3",,,,,,,,,"Neural Networks","13","Universität Duisburg-Essen","3",,,,,,,,
,,,,"Hawking, D.","3",,,,,,,,,"Probabilistic Logics","13","University of Toronto","3",,,,,,,,
,,,,"Hearst, M.A.","3",,,,,,,,,"Translation (languages)","13","Georgia Institute of Technology","3",,,,,,,,
,,,,"Hiemstra, D.","3",,,,,,,,,"Abstracting","12","Consiglio Nazionale delle Ricerche","3",,,,,,,,
,,,,"Hoashi, K.","3",,,,,,,,,"Approximation Theory","12","University of Virginia","3",,,,,,,,
,,,,"Hofmann, T.","3",,,,,,,,,"Boolean Functions","12","University of North Texas","3",,,,,,,,
,,,,"Inoue, N.","3",,,,,,,,,"Data Processing","12","Nara Institute of Science and Technology","3",,,,,,,,
,,,,"Iwayama, M.","3",,,,,,,,,"Human Computer Interaction","12","The University of Tokyo","3",,,,,,,,
,,,,"Jones, K.S.","3",,,,,,,,,"Human Engineering","12","Tsinghua University","3",,,,,,,,
,,,,"Keskustalo, H.","3",,,,,,,,,"Question Answering","12","Nippon Telegraph and Telephone Corporation","3",,,,,,,,
,,,,"Kitani, T.","3",,,,,,,,,"Content Based Retrieval","11","KDDI R&amp;D Laboratories","3",,,,,,,,
,,,,"Lam, W.","3",,,,,,,,,"Data Acquisition","11","IBM Research - Haifa","3",,,,,,,,
,,,,"Larkey, L.S.","3",,,,,,,,,"Data Compression","11","University of Illinois at Chicago","3",,,,,,,,
,,,,"Larson, R.R.","3",,,,,,,,,"Markov Processes","11","The University of Queensland","3",,,,,,,,
,,,,"Lee, J.H.","3",,,,,,,,,"Maximum Likelihood Estimation","11","Istituto di Scienza e Tecnologie dell'Informazione A. Faedo","3",,,,,,,,
,,,,"Liu, X.","3",,,,,,,,,"Metadata","11","CLARITECH Corporation","2",,,,,,,,
,,,,"Ma, W.Y.","3",,,,,,,,,"Regression Analysis","11","Institut de Recherche en Informatique de Nantes","2",,,,,,,,
,,,,"Mayfield, J.","3",,,,,,,,,"Trees (mathematics)","11","Chonan University","2",,,,,,,,
,,,,"McNamee, P.","3",,,,,,,,,"XML","11","Università degli Studi di Padova","2",,,,,,,,
,,,,"Mitra, M.","3",,,,,,,,,"Adaptive Filtering","10","Universidade Federal do Amazonas","2",,,,,,,,
,,,,"Montague, M.","3",,,,,,,,,"Cross-language Information Retrieval","10","National Institute of Japanese Literature","2",,,,,,,,
,,,,"Muresan, G.","3",,,,,,,,,"Distributed Database Systems","10","Demokritos National Centre for Scientific Research","2",,,,,,,,
,,,,"Nottelmann, H.","3",,,,,,,,,"Hypertext Systems","10","University of Haifa","2",,,,,,,,
,,,,"Ounis, I.","3",,,,,,,,,"Image Retrieval","10","DSO National Laboratories","2",,,,,,,,
,,,,"Petrelli, D.","3",,,,,,,,,"Information Filtering","10","Princeton University","2",,,,,,,,
,,,,"Roelleke, T.","3",,,,,,,,,"Knowledge Based Systems","10","Zhejiang University","2",,,,,,,,
,,,,"Salton, G.","3",,,,,,,,,"Text Summarization","10","Johns Hopkins University","2",,,,,,,,
,,,,"Sheridan, P.","3",,,,,,,,,"Computer Systems Programming","9","Korea University","2",,,,,,,,
,,,,"Si, L.","3",,,,,,,,,"Decision Theory","9","Google LLC","2",,,,,,,,
,,,,"Soffer, A.","3",,,,,,,,,"Error Analysis","9","University of Pennsylvania","2",,,,,,,,
,,,,"Tokunaga, T.","3",,,,,,,,,"Glossaries","9","Lomonosov Moscow State University","2",,,,,,,,
,,,,"Tseng, Y.H.","3",,,,,,,,,"Image Processing","9","Utrecht University","2",,,,,,,,
,,,,"Viles, C.L.","3",,,,,,,,,"Language Model","9","Hong Kong University of Science and Technology","2",,,,,,,,
,,,,"Westerveld, T.","3",,,,,,,,,"Machine Learning","9","University of Yamanashi","2",,,,,,,,
,,,,"Williams, H.E.","3",,,,,,,,,"Pattern Recognition","9","Istituto Trentino di Cultura-Centro per la Ricerca Scientifica e Tecnologica","2",,,,,,,,
,,,,"Agata, T.","2",,,,,,,,,"Query Expansion","9","BBN Technologies","2",,,,,,,,
,,,,"Ando, R.K.","2",,,,,,,,,"Systems Analysis","9","Academia Sinica, Institute of Information Science","2",,,,,,,,
,,,,"Anh, V.N.","2",,,,,,,,,"Thesauri","9","University of Massachusetts System","2",,,,,,,,
,,,,"Aslandogan, Y.A.","2",,,,,,,,,"Character Recognition","8","University of Tsukuba","2",,,,,,,,
,,,,"Baeza-Yates, R.","2",,,,,,,,,"Decision Making","8","Eastman Kodak Company","2",,,,,,,,
,,,,"Beaulieu, M.","2",,,,,,,,,"Estimation","8","Information Sciences Institute","2",,,,,,,,
,,,,"Bennett, P.N.","2",,,,,,,,,"Information Use","8","University of Pittsburgh","2",,,,,,,,
,,,,"Blei, D.M.","2",,,,,,,,,"Interfaces (computer)","8","Radboud University Nijmegen","2",,,,,,,,
,,,,"Callan, J.P.","2",,,,,,,,,"Knowledge Representation","8","Technische Universitat Wien","2",,,,,,,,
,,,,"Carbonell, J.","2",,,,,,,,,"Program Documentation","8","Nederlandse Organisatie voor toegepast natuurwetenschappelijk onderzoek- TNO","2",,,,,,,,
,,,,"Carthy, J.","2",,,,,,,,,"Question Answering (QA)","8","Università degli Studi di Firenze","2",,,,,,,,
,,,,"Chen, A.","2",,,,,,,,,"Random Processes","8","Xerox Research Centre Europe","2",,,,,,,,
,,,,"Chen, F.","2",,,,,,,,,"Software Package TREC","8","Johns Hopkins University Applied Physics Laboratory","2",,,,,,,,
,,,,"Chi, C.H.","2",,,,,,,,,"CLIR","7","Queen Mary University of London","2",,,,,,,,
,,,,"Chua, T.S.","2",,,,,,,,,"Clustering","7","Cardiff University","2",,,,,,,,
,,,,"Ciravegna, F.","2",,,,,,,,,"Collaborative Filtering","7","University of Maryland, Baltimore County UMBC","2",,,,,,,,
,,,,"Cohen, W.W.","2",,,,,,,,,"Constraint Theory","7","Dublin City University","2",,,,,,,,
,,,,"Darwish, K.","2",,,,,,,,,"Correlation Methods","7","KU Leuven","2",,,,,,,,
,,,,"Davison, B.D.","2",,,,,,,,,"Cross Language Information Retrieval","7","The University of North Carolina at Chapel Hill","2",,,,,,,,
,,,,"Davulcu, H.","2",,,,,,,,,"Distributed Computer Systems","7","Universität Freiburg im Breisgau","2",,,,,,,,
,,,,"Ding, C.","2",,,,,,,,,"Document Clustering","7","University of Michigan, Ann Arbor","2",,,,,,,,
,,,,"Dingli, A.","2",,,,,,,,,"EiRev","7","Stony Brook University","2",,,,,,,,
,,,,"Dunlop, M.D.","2",,,,,,,,,"Iterative Methods","7","Microsoft Corporation","2",,,,,,,,
,,,,"Farchi, E.","2",,,,,,,,,"Java Programming Language","7","Ben-Gurion University of the Negev","2",,,,,,,,
,,,,"Feng, Y.","2",,,,,,,,,"Merging","7","The University of Edinburgh","2",,,,,,,,
,,,,"Fidel, R.","2",,,,,,,,,"Pattern Matching","7","Oracle Corporation","2",,,,,,,,
,,,,"Friedman, N.","2",,,,,,,,,"Query Translation","7","Alma Mater Studiorum Università di Bologna","2",,,,,,,,
,,,,"Fukumoto, F.","2",,,,,,,,,"Statistics","7","Syracuse University","2",,,,,,,,
,,,,"Fukushima, T.","2",,,,,,,,,"Terminology","7","University of Alberta","2",,,,,,,,
,,,,"Fuller, M.","2",,,,,,,,,"Text Classification","7","Curtin University","2",,,,,,,,
,,,,"Gao, J.","2",,,,,,,,,"Web Search","7","RISE, Swedish Institute of Computer Science","2",,,,,,,,
,,,,"Gey, F.C.","2",,,,,,,,,"Word Processing","7","Electrotechnical Laboratory","2",,,,,,,,
,,,,"Girolami, M.","2",,,,,,,,,"Computer Networks","6","University at Buffalo, The State University of New York","2",,,,,,,,
,,,,"Grefenstette, G.","2",,,,,,,,,"Formal Languages","6","Verity, Inc.","2",,,,,,,,
,,,,"Greiff, W.R.","2",,,,,,,,,"Link Analysis","6","NEC Corporation of America","2",,,,,,,,
,,,,"Großjohann, K.","2",,,,,,,,,"Numerical Methods","6","University of the West of Scotland","2",,,,,,,,
,,,,"Han, H.","2",,,,,,,,,"Optical Character Recognition","6","Universite Grenoble Alpes","2",,,,,,,,
,,,,"Hashimoto, K.","2",,,,,,,,,"Response Time (computer Systems)","6","School of Communication and Information","2",,,,,,,,
,,,,"Hoenkamp, E.","2",,,,,,,,,"SGML","6","Univ. Gifu","1",,,,,,,,
,,,,"Ingwersen, P.","2",,,,,,,,,"Summarization","6","Royal School of Librarianship","1",,,,,,,,
